food_name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,unit_type,avg_weight
Dal Tadka,137.45,14.97,18.79,16.72,0.79,gram,100
Cabbage,115.55,4.15,19.68,20.16,9.66,gram,100
Walnuts,42.01,1.14,54.6,0.7,5.92,gram,100
Walnuts,95.27,26.24,0.51,29.23,9.3,gram,100
Cashews,386.85,1.62,10.78,22.78,7.89,gram,100
Carrot,311.68,21.42,51.55,23.69,5.01,gram,100
Butter,149.75,19.5,51.0,4.99,1.74,gram,100
Butter,224.77,21.53,58.92,6.87,8.32,gram,100
Walnuts,324.18,28.48,37.24,0.11,9.73,gram,100
Onion,137.48,9.93,42.37,24.77,2.68,gram,100
Idli,174.56,5.59,40.4,12.9,6.86,piece,67
Chapati,50.68,19.85,28.38,11.55,6.87,piece,49
Spinach,43.84,6.16,12.91,8.85,4.1,gram,100
Cashews,68.78,0.79,53.56,10.59,8.21,gram,100
Watermelon,180.31,9.76,53.7,20.57,8.21,gram,100
Paratha,374.12,4.19,7.71,21.31,3.35,piece,45
Bread,359.17,6.09,4.08,16.83,3.56,gram,100
Biryani,83.48,2.79,18.73,5.62,9.66,gram,100
Upma,283.4,25.82,4.58,6.38,0.71,gram,100
Papaya,159.91,20.23,45.84,6.7,8.78,gram,100
Papaya,219.12,14.28,1.15,17.43,6.73,gram,100
Rice,299.19,18.44,44.48,21.67,7.92,gram,100
Vegetable Curry,238.74,15.98,4.71,21.38,0.7,gram,100
Salad,363.15,27.64,14.9,25.03,4.41,gram,100
Butter,195.0,18.18,49.13,22.58,0.86,gram,100
Chapati,131.6,22.69,34.97,12.14,8.63,piece,108
Watermelon,311.81,1.16,31.06,7.8,2.57,gram,100
Orange,270.91,4.74,8.12,23.91,9.2,gram,100
Salad,296.51,9.59,41.98,14.04,5.38,gram,100
Carrot,54.5,12.51,57.84,2.92,3.47,gram,100
Carrot,238.22,24.59,49.97,27.31,0.06,gram,100
Cashews,325.35,13.87,14.28,12.62,3.15,gram,100
Cornflakes,389.18,15.22,33.49,29.83,8.88,gram,100
Cashews,222.68,11.24,6.75,6.29,3.09,gram,100
Almonds,65.11,11.07,13.23,12.37,7.56,gram,100
Protein Shake,169.37,17.01,43.57,29.69,1.48,gram,100
Walnuts,270.07,20.79,32.21,26.4,6.28,gram,100
Paratha,90.52,29.83,52.75,1.86,5.26,piece,50
Rice,127.89,18.59,34.02,9.01,4.8,gram,100
Peanuts,351.91,10.61,34.44,19.81,6.19,gram,100
Peanuts,112.02,22.32,36.7,27.4,6.7,gram,100
Carrot,114.66,20.51,21.7,8.29,3.34,gram,100
Dal Tadka,189.91,3.6,15.63,10.24,2.91,gram,100
Butter,98.82,1.26,56.65,21.61,1.71,gram,100
Sambar,121.03,6.07,49.29,12.08,8.91,gram,100
Mango,102.36,25.16,58.53,18.32,6.56,gram,100
Upma,76.38,12.17,47.84,1.83,6.34,gram,100
Idli,378.18,7.24,33.78,4.46,8.62,piece,65
Biryani,102.21,25.85,18.67,25.25,9.67,gram,100
Paratha,48.24,9.74,10.99,3.67,5.91,piece,86
Papaya,205.72,7.54,56.13,25.4,1.6,gram,100
Watermelon,257.78,7.43,51.82,13.43,2.81,gram,100
Papaya,200.37,1.51,44.94,16.85,4.42,gram,100
Watermelon,295.68,16.78,31.46,16.28,7.29,gram,100
Cashews,83.9,26.6,9.49,14.46,8.51,gram,100
Paneer Butter Masala,235.98,23.05,32.17,26.58,5.77,gram,100
Protein Shake,236.71,3.93,58.62,5.72,0.74,gram,100
Chapati,187.74,21.97,14.99,26.6,8.45,piece,48
Chicken Breast,191.74,17.23,50.57,19.1,6.57,gram,100
Tomato,258.56,27.79,28.4,11.57,6.0,gram,100
Paneer Butter Masala,217.48,24.33,58.05,25.5,2.27,gram,100
Vegetable Curry,350.97,23.44,43.74,26.7,3.1,gram,100
Butter,386.79,11.15,18.21,29.07,5.67,gram,100
Onion,53.17,10.75,43.89,7.29,9.57,gram,100
Mango,228.86,2.89,16.96,16.51,1.79,gram,100
Pineapple,383.3,3.22,50.51,6.06,3.15,gram,100
Chole,203.99,19.53,9.0,26.71,8.18,gram,100
Bread,234.54,2.26,41.26,13.47,6.54,gram,100
Onion,399.2,6.66,35.58,19.95,6.77,gram,100
Chole,176.24,7.28,26.3,17.66,3.52,gram,100
Chapati,103.76,16.05,25.63,17.26,3.55,piece,58
Grapes,325.26,11.61,50.19,15.58,0.8,gram,100
Grapes,254.92,22.84,16.42,13.21,6.42,gram,100
Idli,170.35,18.35,9.48,8.76,1.11,piece,85
Onion,150.64,19.44,14.51,4.92,4.59,gram,100
Pineapple,287.15,22.19,33.35,20.74,9.42,gram,100
Cabbage,148.33,24.64,39.74,3.25,4.48,gram,100
Onion,353.88,13.28,40.23,25.05,9.41,gram,100
Watermelon,224.49,10.17,15.0,21.02,4.89,gram,100
Egg,354.18,14.87,51.9,17.87,9.19,piece,88
Butter,111.33,2.22,49.67,8.08,5.44,gram,100
Upma,344.1,10.4,19.54,23.23,0.11,gram,100
Watermelon,143.3,9.59,25.9,10.68,0.94,gram,100
Pineapple,351.43,10.31,11.15,10.59,0.75,gram,100
Egg,51.82,21.54,50.16,6.3,0.3,piece,103
Upma,79.44,15.83,2.24,7.7,3.61,gram,100
Banana,287.08,8.41,2.62,12.41,4.94,piece,79
Cauliflower,344.0,16.3,18.57,29.28,8.2,gram,100
Broccoli,366.13,29.41,17.53,3.74,7.02,gram,100
Oats,86.62,17.24,26.79,28.8,5.77,gram,100
Egg,342.02,21.53,14.16,8.21,2.84,piece,72
Bread,150.7,7.6,49.85,11.55,4.5,gram,100
Onion,329.3,10.91,18.76,23.28,9.68,gram,100
Biryani,96.6,10.97,39.13,9.8,3.3,gram,100
Rice,277.57,23.73,39.81,23.66,5.41,gram,100
Sambar,279.63,20.55,41.41,24.98,1.35,gram,100
Cauliflower,358.92,2.48,25.8,29.79,6.52,gram,100
Oats,291.14,1.22,49.93,20.09,3.5,gram,100
Cauliflower,162.48,17.31,19.21,4.47,0.73,gram,100
Peanuts,232.55,25.28,28.6,12.25,9.12,gram,100
Dal Tadka,320.7,5.06,21.14,25.52,1.85,gram,100
Greek Yogurt,389.52,11.82,34.4,8.01,7.11,gram,100
Rajma,277.43,5.13,5.53,12.07,6.89,gram,100
Almonds,352.23,7.7,40.23,19.33,4.83,gram,100
Almonds,369.92,9.69,11.1,10.92,6.79,gram,100
Sambar,85.77,24.69,39.22,11.09,8.03,gram,100
Watermelon,257.08,20.16,40.4,6.18,5.16,gram,100
Grapes,264.69,21.81,24.66,9.77,1.34,gram,100
Biryani,179.69,17.48,15.93,14.13,1.71,gram,100
Rajma,202.75,29.63,29.5,5.41,7.62,gram,100
Almonds,86.67,25.68,37.41,28.52,6.69,gram,100
Almonds,75.82,28.8,10.9,2.11,4.71,gram,100
Butter,79.35,7.84,49.74,24.76,5.3,gram,100
Papaya,96.34,6.47,46.74,18.44,7.19,gram,100
Grapes,283.53,23.42,59.73,6.16,1.38,gram,100
Protein Shake,284.38,4.85,32.81,26.99,7.45,gram,100
Onion,239.57,3.42,33.69,27.38,7.42,gram,100
Upma,182.66,21.56,32.15,6.53,1.05,gram,100
Paneer,167.4,11.34,42.08,8.43,8.24,gram,100
Bread,140.95,17.86,47.34,11.48,3.69,gram,100
Cashews,68.63,26.31,50.4,21.28,6.57,gram,100
Sambar,237.43,3.47,20.21,22.29,8.29,gram,100
Chicken Breast,353.06,23.84,2.24,25.77,3.2,gram,100
Cornflakes,338.17,29.75,51.68,1.16,2.95,gram,100
Vegetable Curry,200.76,8.27,56.38,18.72,6.98,gram,100
Butter,183.7,24.72,15.36,2.27,3.76,gram,100
Rajma,157.73,20.4,57.15,15.29,7.85,gram,100
Cornflakes,45.89,19.09,1.41,29.73,7.13,gram,100
Greek Yogurt,313.14,9.71,27.07,5.93,7.86,gram,100
Sambar,311.17,6.87,9.51,2.85,2.05,gram,100
Rice,381.36,23.16,32.35,27.89,8.02,gram,100
Pineapple,340.76,5.04,56.61,22.42,9.5,gram,100
Walnuts,161.29,1.2,52.69,16.43,6.42,gram,100
Protein Shake,199.6,29.7,36.39,25.53,1.39,gram,100
Salad,48.96,10.48,48.83,0.57,3.36,gram,100
Bread,281.88,26.61,25.47,23.98,9.22,gram,100
Walnuts,256.29,14.56,42.67,14.07,2.82,gram,100
Curd,239.47,18.85,7.54,27.57,5.93,gram,100
Vegetable Curry,360.19,26.7,24.38,16.3,8.36,gram,100
Oats,281.65,27.44,27.01,2.38,7.28,gram,100
Vegetable Curry,301.77,0.47,23.55,11.16,2.69,gram,100
Sambar,306.43,21.76,40.73,8.84,3.9,gram,100
Cashews,71.64,7.51,0.12,17.12,1.87,gram,100
Protein Shake,202.01,5.03,59.66,2.09,7.35,gram,100
Broccoli,146.13,28.54,34.87,7.59,7.25,gram,100
Chicken Curry,141.75,2.47,43.81,3.66,1.25,gram,100
Almonds,199.52,3.26,14.94,25.46,4.23,gram,100
Paratha,353.11,20.12,33.99,15.61,6.04,piece,95
Mango,270.9,28.7,7.49,3.7,5.2,gram,100
Cabbage,191.13,20.66,7.23,24.46,6.97,gram,100
Papaya,352.64,29.58,59.58,26.15,4.46,gram,100
Almonds,170.26,7.56,22.57,26.36,0.21,gram,100
Peanuts,65.4,24.13,21.73,8.74,7.81,gram,100
Potato,247.08,3.06,25.03,5.96,8.2,gram,100
Carrot,315.94,8.26,54.23,14.76,2.72,gram,100
Dal Tadka,356.7,8.0,49.95,4.34,5.71,gram,100
Chole,178.55,15.93,42.93,12.26,3.54,gram,100
Chicken Curry,305.13,21.0,35.61,15.25,2.14,gram,100
Upma,173.95,25.99,20.57,22.28,0.9,gram,100
Potato,40.13,15.42,35.19,29.1,6.83,gram,100
Cornflakes,362.48,16.81,2.87,2.46,0.26,gram,100
Rajma,371.13,24.14,15.46,15.81,4.68,gram,100
Rajma,215.2,20.17,27.22,5.52,8.35,gram,100
Apple,246.09,7.12,17.58,14.94,2.27,piece,87
Watermelon,54.25,20.47,2.24,22.5,2.39,gram,100
Chicken Breast,45.5,29.47,44.51,2.62,7.44,gram,100
Walnuts,221.63,18.02,46.06,22.93,9.64,gram,100
Cornflakes,267.66,7.13,30.29,28.5,7.63,gram,100
Apple,283.68,5.07,29.23,21.68,2.22,piece,68
Rajma,392.44,28.15,37.9,24.9,7.3,gram,100
Paratha,67.39,3.59,33.7,1.5,8.17,piece,120
Vegetable Curry,165.84,24.3,31.59,22.21,2.21,gram,100
Bread,187.57,28.86,30.89,5.24,0.68,gram,100
Pineapple,77.48,0.8,43.5,21.79,3.54,gram,100
Almonds,384.65,1.41,37.85,3.78,3.77,gram,100
Poha,264.23,0.01,36.04,6.2,6.15,gram,100
Pineapple,334.09,12.92,46.01,24.51,6.26,gram,100
Paneer,219.03,23.98,41.61,3.28,4.11,gram,100
Carrot,87.07,8.89,50.08,14.66,0.91,gram,100
Egg,393.13,15.5,40.72,27.98,9.02,piece,74
Dosa,266.72,8.76,13.78,13.87,9.47,gram,100
Paratha,393.98,17.46,8.4,8.41,0.01,piece,46
Upma,189.33,6.05,19.35,8.73,2.33,gram,100
Protein Shake,229.7,0.46,27.79,19.05,5.3,gram,100
Orange,355.83,15.82,37.93,20.09,5.61,gram,100
Chapati,351.42,20.51,41.19,24.12,3.58,piece,58
Biryani,234.11,10.19,29.49,20.93,3.55,gram,100
Sambar,203.41,21.56,35.43,13.26,9.3,gram,100
Poha,282.7,8.81,51.81,29.49,9.52,gram,100
Salad,159.21,7.74,15.19,19.45,6.34,gram,100
Dosa,91.24,9.33,32.98,14.69,4.88,gram,100
Oats,339.1,1.06,1.45,2.08,8.15,gram,100
Salad,286.62,5.56,28.76,24.5,9.76,gram,100
Egg,247.51,6.36,57.26,9.19,2.0,piece,73
Vegetable Curry,69.34,18.59,51.31,22.9,5.18,gram,100
Cashews,203.4,18.57,51.53,23.43,4.94,gram,100
Curd,366.31,5.68,9.78,14.16,5.35,gram,100
Orange,305.04,10.01,41.17,12.03,5.51,gram,100
Chole,89.45,28.17,55.85,1.51,1.83,gram,100
Cornflakes,195.75,16.65,33.35,24.09,8.51,gram,100
Papaya,139.13,7.46,22.94,19.78,9.26,gram,100
Dal Tadka,83.59,7.34,29.13,22.2,5.99,gram,100
Idli,299.72,3.11,58.71,11.47,1.87,piece,74
Mango,201.69,29.32,6.78,0.32,7.52,gram,100
Rice,227.81,26.28,39.7,10.06,9.09,gram,100
Papaya,285.31,26.08,39.29,6.32,1.55,gram,100
Chicken Curry,122.66,3.1,8.18,10.47,4.56,gram,100
Banana,203.52,26.62,50.8,16.47,5.91,piece,62
Idli,60.92,2.21,22.83,10.81,9.64,piece,116
Paneer,257.13,27.84,32.19,5.53,6.55,gram,100
Chicken Curry,352.72,28.11,24.97,15.58,0.69,gram,100
Paratha,220.62,24.51,27.93,15.03,4.63,piece,102
Curd,321.55,12.4,41.34,24.19,8.63,gram,100
Cabbage,299.98,27.01,22.44,21.62,2.73,gram,100
Cauliflower,43.86,20.0,44.73,18.97,1.26,gram,100
Onion,295.25,22.39,52.67,14.17,6.57,gram,100
Bread,189.77,18.44,32.78,17.51,7.23,gram,100
Chicken Breast,267.35,19.19,55.12,24.62,5.54,gram,100
Paneer Butter Masala,370.17,27.22,43.08,19.29,2.85,gram,100
Chicken Curry,372.91,1.05,27.07,19.89,5.79,gram,100
Chole,298.39,13.05,59.04,27.76,7.34,gram,100
Dosa,106.55,24.5,41.24,16.89,5.32,gram,100
Cashews,94.67,17.65,31.14,26.8,8.26,gram,100
Upma,143.61,17.04,12.45,23.77,8.87,gram,100
Broccoli,206.29,12.28,33.59,8.76,6.13,gram,100
Spinach,257.86,14.69,42.83,25.34,2.17,gram,100
Cauliflower,72.27,13.67,30.63,2.96,9.94,gram,100
Butter,85.38,11.32,40.11,9.4,6.9,gram,100
Vegetable Curry,287.43,27.26,50.57,15.99,2.71,gram,100
Cashews,235.26,9.6,26.75,28.13,9.26,gram,100
Mango,358.3,5.35,49.61,29.12,3.32,gram,100
Potato,385.39,7.56,18.16,3.53,9.51,gram,100
Cornflakes,369.36,1.05,13.91,0.8,9.03,gram,100
Paratha,217.21,21.5,7.28,17.77,6.47,piece,93
Broccoli,118.55,2.04,47.39,9.43,7.19,gram,100
Peanuts,234.58,22.5,34.4,10.35,5.56,gram,100
Dosa,387.87,25.63,11.29,24.86,10.0,gram,100
Cabbage,44.44,29.21,5.7,3.69,3.75,gram,100
Vegetable Curry,348.99,12.57,32.63,12.16,6.67,gram,100
Broccoli,252.26,19.87,53.83,27.8,7.3,gram,100
Curd,312.89,1.75,39.6,4.68,4.99,gram,100
Butter,146.82,23.57,42.47,12.31,8.45,gram,100
Orange,262.4,12.13,34.92,10.13,5.52,gram,100
Orange,395.56,8.06,59.84,25.3,6.63,gram,100
Apple,109.09,25.93,4.47,28.49,3.6,piece,61
Paneer,104.33,26.1,46.84,24.01,2.72,gram,100
Mango,362.05,11.36,56.97,13.94,4.09,gram,100
Papaya,294.61,9.92,49.96,9.56,1.83,gram,100
Chicken Breast,180.61,26.18,42.38,4.61,8.47,gram,100
Apple,154.32,9.64,54.54,15.81,3.56,piece,64
Chole,41.77,4.97,34.04,0.26,0.7,gram,100
Oats,372.85,11.12,48.17,23.29,4.97,gram,100
Paneer,222.48,22.86,35.73,11.77,0.53,gram,100
Rice,196.23,3.17,55.68,2.28,8.26,gram,100
Paneer,83.63,2.48,12.82,15.09,8.97,gram,100
Peanuts,183.22,9.19,57.13,0.93,9.27,gram,100
Grapes,152.22,16.18,30.54,29.39,1.03,gram,100
Bread,95.29,28.64,15.02,7.95,7.28,gram,100
Curd,268.91,10.92,54.17,0.92,2.54,gram,100
Onion,52.27,27.78,33.41,23.98,1.71,gram,100
Oats,49.79,0.94,34.02,11.69,3.41,gram,100
Potato,284.47,17.83,20.89,25.57,2.01,gram,100
Oats,339.38,28.13,23.69,18.2,9.15,gram,100
Mango,304.01,15.57,46.58,11.63,4.29,gram,100
Cauliflower,257.25,21.6,57.02,25.71,2.81,gram,100
Bread,119.12,0.84,9.2,18.04,3.78,gram,100
Potato,232.31,26.29,45.12,23.46,7.76,gram,100
Papaya,215.18,2.06,25.04,15.76,5.09,gram,100
Milk,186.1,9.98,4.57,10.15,1.77,gram,100
Chicken Curry,227.15,28.46,33.98,10.09,4.33,gram,100
Paratha,370.35,11.98,22.67,13.96,4.33,piece,68
Almonds,144.13,13.76,11.13,21.46,9.85,gram,100
Watermelon,320.61,21.11,1.89,1.98,0.96,gram,100
Banana,137.7,8.99,54.31,20.0,0.23,piece,76
Chapati,287.49,3.72,24.99,29.88,1.03,piece,38
Almonds,182.12,4.96,49.94,9.94,7.13,gram,100
Cauliflower,190.81,14.91,56.17,5.89,6.56,gram,100
Salad,349.67,18.82,36.46,14.74,4.1,gram,100
Chole,338.62,9.87,29.51,25.13,5.93,gram,100
Poha,366.53,25.1,24.75,8.86,5.9,gram,100
Grapes,375.15,1.55,40.71,12.34,8.38,gram,100
Cashews,95.24,2.79,13.41,21.74,5.96,gram,100
Paratha,107.61,12.65,7.51,18.64,4.23,piece,64
Protein Shake,159.24,25.45,33.45,14.84,3.95,gram,100
Spinach,91.26,22.72,40.92,15.63,1.76,gram,100
Chole,160.32,23.76,23.67,24.36,0.35,gram,100
Grapes,328.94,5.22,35.88,11.71,2.37,gram,100
Vegetable Curry,173.74,1.25,31.22,0.33,7.92,gram,100
Upma,223.65,12.82,26.89,27.83,7.09,gram,100
Salad,128.04,0.36,28.89,19.27,3.24,gram,100
Carrot,351.69,4.65,38.72,4.93,2.84,gram,100
Banana,189.69,15.44,58.55,5.89,1.32,piece,65
Egg,287.45,22.84,7.36,19.27,0.64,piece,31
Oats,215.69,5.5,0.33,27.02,2.89,gram,100
Rajma,399.99,8.05,24.08,1.36,6.63,gram,100
Greek Yogurt,315.27,19.15,2.1,22.49,6.75,gram,100
Cabbage,390.16,25.44,55.73,20.85,3.16,gram,100
Carrot,315.78,24.69,32.04,18.22,4.69,gram,100
Chole,161.32,7.95,56.52,2.14,2.29,gram,100
Rice,264.67,14.17,53.95,2.37,8.32,gram,100
Orange,390.13,0.64,45.85,0.02,2.37,gram,100
Cornflakes,105.88,16.55,9.75,26.15,9.13,gram,100
Chole,131.08,1.01,28.86,11.18,1.96,gram,100
Spinach,373.5,15.11,11.26,1.46,0.04,gram,100
Paneer,394.67,15.87,4.63,19.4,7.28,gram,100
Dosa,232.73,13.74,32.5,21.48,2.15,gram,100
Apple,132.41,9.86,40.86,21.04,6.85,piece,31
Oats,287.48,18.8,41.34,28.83,8.61,gram,100
Mango,267.42,29.42,11.94,8.31,4.82,gram,100
Broccoli,282.68,14.47,28.59,9.09,9.61,gram,100
Cauliflower,371.46,14.86,17.82,4.07,3.12,gram,100
Curd,129.82,24.78,55.46,5.59,9.29,gram,100
Butter,365.24,10.23,1.08,7.73,5.93,gram,100
Paneer,145.51,6.42,11.94,0.49,0.83,gram,100
Biryani,338.06,11.57,32.57,6.71,5.15,gram,100
Apple,341.35,10.19,2.65,28.56,4.47,piece,56
Apple,206.52,11.94,4.74,12.19,1.7,piece,53
Sambar,352.45,2.88,43.0,11.26,7.94,gram,100
Protein Shake,197.73,15.21,37.58,24.96,0.14,gram,100
Watermelon,333.33,27.31,20.35,19.12,9.58,gram,100
Peanuts,249.89,3.55,49.36,1.11,2.29,gram,100
Apple,331.42,27.41,28.95,11.65,9.23,piece,64
Milk,287.82,10.19,48.71,19.77,4.54,gram,100
Greek Yogurt,49.38,16.77,20.79,9.57,1.11,gram,100
Mango,238.48,1.33,26.64,17.11,0.73,gram,100
Biryani,261.17,25.61,44.05,10.18,9.84,gram,100
Egg,80.22,15.64,33.79,10.21,0.94,piece,74
Chole,97.69,25.21,54.84,1.19,4.4,gram,100
Vegetable Curry,100.89,12.14,56.74,1.57,2.05,gram,100
Bread,335.4,9.39,51.56,18.56,1.99,gram,100
Sambar,316.42,13.67,49.64,12.1,7.12,gram,100
Chole,383.02,7.3,19.94,3.92,1.83,gram,100
Almonds,164.76,8.38,46.2,12.34,0.25,gram,100
Rajma,89.01,13.93,53.11,12.6,1.47,gram,100
Peanuts,60.79,4.47,36.19,10.67,6.78,gram,100
Biryani,42.68,20.96,33.12,24.69,7.31,gram,100
Oats,160.01,23.05,40.31,10.82,2.09,gram,100
Rice,69.97,7.06,48.25,1.87,9.64,gram,100
Almonds,186.56,20.88,41.32,20.65,0.35,gram,100
Rajma,342.98,15.22,37.18,25.02,0.36,gram,100
Carrot,318.53,13.61,14.67,20.71,9.06,gram,100
Onion,343.26,3.53,12.43,11.27,4.03,gram,100
Onion,255.4,22.94,56.42,23.63,2.98,gram,100
Papaya,274.2,21.54,54.35,28.98,4.04,gram,100
Potato,131.24,2.84,14.11,22.11,2.94,gram,100
Sambar,93.85,7.61,16.26,19.73,4.96,gram,100
Apple,349.94,29.44,19.94,25.71,6.36,piece,81
Grapes,262.93,27.06,30.6,2.39,4.11,gram,100
Cauliflower,353.9,14.19,43.3,23.71,7.44,gram,100
Salad,309.67,21.32,53.16,27.77,6.57,gram,100
Broccoli,361.48,20.11,25.12,7.9,4.26,gram,100
Cabbage,369.8,17.09,39.2,19.1,9.84,gram,100
Paratha,273.95,22.63,2.19,8.51,0.27,piece,52
Paratha,177.63,0.49,26.38,15.35,6.38,piece,68
Salad,127.49,7.86,51.66,2.03,4.38,gram,100
Dosa,367.24,20.11,45.01,17.51,7.81,gram,100
Chole,257.99,14.27,10.15,28.57,4.37,gram,100
Onion,379.14,26.12,36.12,16.67,7.81,gram,100
Apple,281.23,24.15,8.23,28.93,7.66,piece,30
Grapes,241.63,24.97,28.67,24.65,1.97,gram,100
Butter,220.38,21.11,26.02,18.2,6.39,gram,100
Poha,292.69,10.92,18.13,3.17,6.45,gram,100
Spinach,58.17,9.95,18.52,16.7,5.34,gram,100
Carrot,272.83,2.23,46.31,22.55,7.09,gram,100
Grapes,45.56,19.42,8.68,0.86,0.01,gram,100
Orange,224.66,26.81,19.72,19.34,4.79,gram,100
Almonds,356.61,21.1,57.85,4.58,2.33,gram,100
Biryani,41.63,28.98,15.72,1.52,4.14,gram,100
Sambar,250.27,19.1,57.87,25.23,3.73,gram,100
Grapes,265.16,14.45,2.81,16.03,9.86,gram,100
Rice,340.59,5.17,10.68,25.35,0.89,gram,100
Almonds,243.46,15.64,20.74,14.3,7.05,gram,100
Onion,122.32,9.37,20.12,1.73,9.18,gram,100
Grapes,296.93,2.68,58.82,29.76,7.3,gram,100
Chicken Curry,148.57,16.41,51.6,24.45,5.25,gram,100
Cabbage,156.29,7.76,6.11,11.44,6.77,gram,100
Egg,131.5,2.73,7.2,19.29,1.74,piece,32
Rice,291.51,25.53,39.48,22.38,9.15,gram,100
Chicken Breast,137.29,12.68,4.51,17.42,8.38,gram,100
Dosa,50.73,26.27,16.94,3.19,0.1,gram,100
Sambar,378.14,1.98,9.89,7.96,9.4,gram,100
Poha,367.62,29.82,23.72,9.64,8.28,gram,100
Mango,270.07,20.87,56.64,18.07,0.7,gram,100
Cornflakes,275.1,12.4,44.88,22.56,9.9,gram,100
Milk,85.33,28.52,13.44,3.42,9.2,gram,100
Paneer,145.87,22.07,50.14,10.19,7.55,gram,100
Papaya,149.15,29.28,54.37,13.35,7.11,gram,100
Idli,167.99,26.4,57.72,12.55,2.55,piece,79
Bread,177.45,15.81,6.38,28.05,6.05,gram,100
Greek Yogurt,95.59,0.79,23.56,21.07,8.53,gram,100
Onion,361.94,22.54,5.61,18.11,8.49,gram,100
Tomato,284.09,16.14,30.52,28.51,6.95,gram,100
Almonds,254.4,12.13,7.44,24.82,7.83,gram,100
Carrot,189.05,24.91,41.77,4.35,7.94,gram,100
Bread,386.11,2.68,11.63,25.89,7.63,gram,100
Banana,69.29,20.98,9.0,12.61,5.94,piece,61
Chicken Curry,304.38,9.41,58.59,17.54,1.56,gram,100
Butter,104.07,19.27,25.62,24.43,7.21,gram,100
Cauliflower,142.68,27.53,53.67,10.0,7.93,gram,100
Spinach,124.18,12.86,7.86,20.2,6.1,gram,100
Upma,276.57,7.45,31.88,25.79,0.02,gram,100
Poha,180.51,6.01,8.47,20.95,1.42,gram,100
Papaya,280.97,2.89,22.82,27.98,1.06,gram,100
Orange,71.82,3.94,24.79,10.34,0.8,gram,100
Broccoli,275.05,12.55,49.97,10.61,6.89,gram,100
Chicken Breast,182.9,13.13,14.59,12.16,0.89,gram,100
Upma,177.48,4.09,53.54,21.97,4.2,gram,100
Rice,140.73,26.22,25.62,0.32,2.6,gram,100
Upma,105.64,27.85,56.76,18.67,5.12,gram,100
Bread,176.98,3.41,47.66,29.27,8.33,gram,100
Sambar,219.38,6.42,38.0,21.64,4.32,gram,100
Cashews,191.07,14.34,59.8,7.94,2.51,gram,100
Cashews,105.55,28.07,14.21,18.78,3.93,gram,100
Rajma,62.86,2.4,10.85,3.5,8.01,gram,100
Potato,93.31,29.65,49.38,12.83,7.05,gram,100
Curd,103.91,17.72,53.87,11.49,8.46,gram,100
Cabbage,155.64,28.08,50.04,0.64,5.64,gram,100
Spinach,139.59,29.38,11.84,15.27,2.7,gram,100
Walnuts,332.07,7.94,2.99,17.07,0.47,gram,100
Greek Yogurt,80.41,24.15,54.88,25.66,4.05,gram,100
Watermelon,211.27,12.57,57.91,0.87,0.28,gram,100
Chicken Curry,230.67,3.64,29.96,19.32,2.43,gram,100
Apple,271.84,3.84,19.63,25.77,8.91,piece,33
Egg,174.44,23.1,50.96,29.86,4.83,piece,79
Dosa,208.21,15.07,36.68,15.71,2.11,gram,100
Tomato,202.63,19.59,14.37,23.7,7.93,gram,100
Salad,337.95,14.71,36.12,14.05,3.92,gram,100
Chole,47.52,12.46,36.42,15.55,2.14,gram,100
Tomato,367.64,16.27,52.64,23.16,3.6,gram,100
Mango,243.2,16.26,9.65,9.5,8.54,gram,100
Salad,107.03,14.67,22.86,25.71,0.62,gram,100
Salad,42.53,20.07,22.02,17.25,5.71,gram,100
Paratha,115.74,3.39,38.95,18.15,0.39,piece,36
Orange,215.93,0.67,5.88,16.55,8.6,gram,100
Protein Shake,218.34,24.95,51.01,26.46,7.77,gram,100
Rajma,83.5,14.76,52.44,25.86,1.96,gram,100
Pineapple,109.47,9.67,1.33,14.92,6.47,gram,100
Rice,236.4,25.66,44.2,12.46,1.72,gram,100
Biryani,280.08,21.67,31.55,16.86,7.35,gram,100
Upma,302.42,1.7,13.76,5.67,8.25,gram,100
Chicken Breast,315.44,2.69,2.83,16.05,8.42,gram,100
Tomato,352.26,18.2,23.1,28.85,7.64,gram,100
Cashews,175.59,16.29,24.89,18.76,5.87,gram,100
Salad,162.62,22.0,22.51,15.7,1.52,gram,100
Pineapple,220.84,14.5,30.31,22.97,3.17,gram,100
Egg,375.13,24.4,35.63,13.57,4.8,piece,59
Potato,369.49,0.12,4.3,17.63,8.17,gram,100
Vegetable Curry,253.01,10.19,53.26,1.11,0.94,gram,100
Walnuts,353.06,26.12,21.47,24.44,5.44,gram,100
Dal Tadka,321.54,24.64,20.24,14.36,7.61,gram,100
Orange,139.23,22.87,15.92,11.74,4.29,gram,100
Broccoli,382.17,27.49,51.9,2.95,8.96,gram,100
Bread,137.45,6.5,28.99,15.63,5.54,gram,100
Paneer Butter Masala,154.5,6.14,25.45,12.11,9.22,gram,100
Cornflakes,105.32,2.25,41.24,28.34,0.1,gram,100
Tomato,74.58,19.32,8.98,22.29,6.26,gram,100
Chole,158.51,8.76,31.78,1.77,8.99,gram,100
Cauliflower,282.66,11.82,50.8,1.01,6.95,gram,100
Butter,186.64,24.21,27.66,1.98,1.05,gram,100
Dosa,219.59,23.96,37.41,18.18,1.19,gram,100
Potato,394.82,28.95,48.55,6.12,2.7,gram,100
